time_index,time_stamp,L1,L2,L3,L4,R1,R2,R3,R4,Futek,ENC2
3.3691,2019-09-08 18:20:43.376508,318.0,186.0,172.0,220.0,288.0,206.0,198.0,166.0,,-19,8341652
3.393,2019-09-08 18:20:43.387450,318.0,172.0,172.0,218.0,286.0,206.0,198.0,166.0,,-19,8342250
3.4038,2019-09-08 18:20:43.403377,318.0,186.0,172.0,220.0,196.0,166.0,286.0,206.0,,-19,8341662
3.4197,2019-09-08 18:20:43.426139,318.0,186.0,172.0,220.0,198.0,166.0,286.0,208.0,,-19,8342022
3.4427,2019-09-08 18:20:43.435049,318.0,186.0,172.0,220.0,286.0,206.0,198.0,166.0,,-19,8342361
3.4519,2019-09-08 18:20:43.446819,318.0,186.0,172.0,220.0,286.0,208.0,198.0,166.0,,-19,8342621
3.4633,2019-09-08 18:20:43.460726,318.0,188.0,172.0,220.0,208.0,208.0,286.0,208.0,,-19,8342153
3.4771,2019-09-08 18:20:43.486406,186.0,186.0,172.0,220.0,166.0,208.0,198.0,208.0,,-19,8341762
3.5041,2019-09-08 18:20:43.494762,318.0,186.0,172.0,220.0,286.0,208.0,198.0,166.0,,-19,8342143
3.5115,2019-09-08 18:20:43.518495,186.0,186.0,172.0,220.0,208.0,208.0,198.0,286.0,,-19,8342569
3.535,2019-09-08 18:20:43.525482,318.0,186.0,172.0,220.0,208.0,208.0,198.0,286.0,,-19,8342230
3.5418,2019-09-08 18:20:43.538386,318.0,186.0,172.0,220.0,286.0,208.0,166.0,198.0,,-19,8342070
3.5547,2019-09-08 18:20:43.563317,318.0,186.0,172.0,220.0,198.0,208.0,286.0,166.0,,-19,8342063
3.5805,2019-09-08 18:20:43.572149,318.0,186.0,172.0,220.0,286.0,208.0,286.0,166.0,,-19,8342063
3.5889,2019-09-08 18:20:43.583898,318.0,186.0,172.0,220.0,286.0,166.0,198.0,166.0,,-19,8342029
3.6002,2019-09-08 18:20:43.602691,318.0,186.0,172.0,220.0,166.0,286.0,198.0,166.0,,-19,8341970
3.6194,2019-09-08 18:20:43.623412,188.0,172.0,220.0,318.0,198.0,166.0,198.0,284.0,,-19,8341724
3.6399,2019-09-08 18:20:43.633688,318.0,188.0,172.0,318.0,286.0,166.0,286.0,210.0,,-19,8341973
3.6502,2019-09-08 18:20:43.649646,172.0,222.0,172.0,318.0,286.0,208.0,198.0,166.0,,-19,8341856
3.6664,2019-09-08 18:20:43.664198,318.0,188.0,172.0,318.0,166.0,286.0,208.0,198.0,,-19,8341980
3.6809,2019-09-08 18:20:43.681569,318.0,188.0,172.0,318.0,284.0,286.0,208.0,166.0,,-19,8341724
3.6984,2019-09-08 18:20:43.695909,318.0,188.0,318.0,222.0,284.0,210.0,198.0,286.0,,-19,8341925
3.7122,2019-09-08 18:20:43.711283,222.0,188.0,172.0,220.0,210.0,210.0,166.0,286.0,,-19,8341838
3.728,2019-09-08 18:20:43.726875,316.0,188.0,172.0,316.0,286.0,210.0,198.0,286.0,,-19,8342344
3.7433,2019-09-08 18:20:43.742851,316.0,188.0,172.0,222.0,284.0,198.0,166.0,210.0,,-19,8342773
3.7592,2019-09-08 18:20:43.755917,316.0,188.0,172.0,222.0,284.0,286.0,210.0,166.0,,-19,8342347
3.7726,2019-09-08 18:20:43.771607,316.0,188.0,172.0,222.0,286.0,286.0,198.0,198.0,,-19,8342254
3.7883,2019-09-08 18:20:43.791166,314.0,188.0,172.0,222.0,286.0,286.0,198.0,166.0,,-19,8341794
3.8081,2019-09-08 18:20:43.801910,314.0,188.0,314.0,222.0,284.0,210.0,198.0,166.0,,-19,8342178
3.8186,2019-09-08 18:20:43.830953,314.0,188.0,312.0,188.0,286.0,198.0,198.0,198.0,,-19,8341607
3.8473,2019-09-08 18:20:43.933672,312.0,314.0,188.0,222.0,284.0,198.0,198.0,286.0,,-19,8342323
3.9508,2019-09-08 18:20:43.941272,312.0,312.0,188.0,172.0,210.0,210.0,198.0,286.0,,-19,8341838
3.9581,2019-09-08 18:20:43.948423,310.0,188.0,172.0,224.0,286.0,198.0,198.0,284.0,,-19,8341700
3.9654,2019-09-08 18:20:43.963074,308.0,190.0,172.0,224.0,286.0,210.0,198.0,210.0,,-19,8341904
3.9791,2019-09-08 18:20:43.976315,308.0,188.0,172.0,224.0,208.0,208.0,198.0,198.0,,-19,8342655
